,Tot,C,P,G,N,"T
","Incident[nb 1]
","Aircraft
","Location
","Phase
","Airport
","Distance
","Date
"
535,100,17,100,0,0,0,433,273,365,10,8,8,297
536,100,22,97,0,3,0,71,326,109,3,0,0,284
537,100,22,97,0,3,0,422,223,350,3,0,0,282
538,100,19,99,0,3,0,362,297,176,0,108,40,244
539,100,22,97,0,3,5,396,253,221,3,0,0,172
540,100,22,97,0,1,0,254,283,418,3,0,0,166
541,100,21,96,10,0,0,136,69,406,0,114,45,143
542,100,21,98,0,3,0,121,295,228,0,139,94,120
543,100,21,98,0,0,0,255,176,257,0,205,38,104
544,100,21,98,0,0,0,459,55,218,10,63,0,100
545,100,23,96,0,3,0,383,257,66,3,0,0,84
546,100,19,99,0,3,0,177,326,464,3,0,0,52
547,100,21,98,0,3,0,416,40,246,3,0,0,34
548,100,25,94,0,3,0,375,43,70,3,0,0,25
549,100,22,97,0,3,0,516,197,421,0,149,50,22
550,100,21,98,0,3,0,515,195,422,3,0,0,21
551,100,17,100,0,3,0,387,188,470,3,0,0,10
